Name,Specialty,Symptoms,Usual onset,Duration,Causes,Risk factors,Diagnostic method,Prevention,Treatment,Prognosis,Frequency,Medication,ImageURL
Pediculosis capitis,"Pediatrics, Infectious disease",Itching that can result in trouble sleeping,Up to six weeks from infestation,,Head louse spread by direct contact,,Finding live lice,,"Combing the hair with a fine tooth comb, shaving the head, medications",Not serious,Common,"Malathion, ivermectin, dimethicone",https://upload.wikimedia.org/wikipedia/commons/d/d0/Bugbuster.jpg
Pelvic organ prolapse,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/f/f0/Pelvic_Organ_Prolapse_Quantification_System.svg
"Pelvic pain , chronic",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/6/63/Gray404.png
Pemphigus,Dermatology,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/0/06/Canine_pemphigus_foliaceus_3.jpg
Penicillin allergy,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/d/d6/WHO_Rod.svg
Pericardial effusion,Cardiac surgery,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/5/53/Hemorragic_effusion.jpg
Pericarditis,Cardiology,"Sharp chest pain, better sitting up and worse with lying down, fever",Typically sudden,Few days to weeks,"Viral infection, tuberculosis, uremic pericarditis, following a heart attack, cancer, autoimmune disorders, chest trauma",,"Based on symptoms, electrocardiogram, fluid around the heart",,"NSAIDs, colchicine, corticosteroids",Usually good,"3 per 10,000 per year",,https://upload.wikimedia.org/wikipedia/commons/4/45/PericardialeffusionCXR.PNG
Perimenopause,Gynecology,No menstrual periods for a year,48 and 52 years of age,,Usually a natural change. Can also be caused by surgery that removes both ovaries and some types of chemotherapy.,,,,"None, lifestyle changes",,,"Menopausal hormone therapy, clonidine, gabapentin, selective serotonin reuptake inhibitors",https://upload.wikimedia.org/wikipedia/commons/9/91/615_Age_and_Bone_Mass.jpg
"Periodontal disease , gingivitis",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/b/ba/Gingivitis-before-and-after-3.jpg
Periodontitis,Dentistry,"Red, swollen, painful, bleeding gums, loose teeth, bad breath",,,Bacteria related plaque build up,"Smoking, diabetes, HIV/AIDS, certain medications","Dental examination, X-rays",,"Good oral hygiene, regular professional cleaning",,538 million (2015),oral,https://upload.wikimedia.org/wikipedia/commons/0/01/Depiction_of_a_Periodontitis_patient.png
Peripheral nerve injuries,Neurology,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/e/ee/Endoneurial_fibrosis_-_very_high_mag_-_cropped.jpg
Peripheral nerve tumors,,,,,,,,,,,,,
Peripheral neuropathy,Neurology,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/7/76/Vasculitic_neuropathy_-_plastics_-_intermed_mag.jpg
Peritonitis,"Emergency medicine, general surgery","Severe pain, swelling of the abdomen, fever",Sudden,,"Perforation of the intestinal tract, pancreatitis, pelvic inflammatory disease, cirrhosis, ruptured appendix","Ascites, peritoneal dialysis","Examination, blood tests, medical imaging",,"Antibiotics, intravenous fluids, pain medication, surgery",,Relatively common,,https://upload.wikimedia.org/wikipedia/commons/e/e3/Rod_of_Asclepius2.svg
Pernio,"Internal medicine, Podiatry",,,,,,,,,,,,
Peroneal muscular atrophy,"Neurology, podiatry, orthopedics, physical medicine and rehabilitation","Foot drop, hammer toe, peripheral muscle wasting of lower legs and lower arm/hands",Childhood â€“ early adulthood,Lifelong,Family history (genetics),"Family history (genetics), high-arched feet, flat-arched feet","Genetic testing, nerve conduction study or electromyogram (EMG)",,management to maintain function,progressive,"1 in 2,500",,https://upload.wikimedia.org/wikipedia/commons/e/ed/Charcot-marie-tooth_foot.jpg
Persistent depressive disorder ( dysthymia ),,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/en/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg
"Personality disorder , antisocial",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/1/1c/Wiki_letter_w_cropped.svg
"Personality disorder , borderline",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/9/98/BPD_1.png
"Personality disorder , narcissistic",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/5/53/Ambox_current_red_Americas.svg
Personality disorders,Psychiatry; clinical psychology,,,,,,,,,,9â€“15%,,https://upload.wikimedia.org/wikipedia/commons/6/6c/Psi2.svg
Pes planus,Orthopedics Podiatry,,,,,,,,,,,,
Pet allergy,Immunology,"Red eyes, itchy rash, runny nose, shortness of breath, swelling, sneezing",,,Genetic and environmental factors,,"Based on symptoms, skin prick test, blood test",Early exposure to potential allergens,"Avoiding known allergens, medications, allergen immunotherapy",,Common,"Steroids, antihistamines, epinephrine, mast cell stabilizers, antileukotrienes",https://upload.wikimedia.org/wikipedia/commons/3/36/Allergy_degranulation_processes_01.svg
Peyronie 's disease,,,,,,,,,,,,,
Pheochromocytoma,"Endocrinology, oncology","Hypertension, tachycardia, sweating, headache, pallor",,,,,"Elevated plasma free metanephrines, plasma catecholamines, or urinary catecholamines",,"Surgery, chemotherapy, radiation, and pharmacologic agents",,"0.8 per 100,000 person-years ",,https://upload.wikimedia.org/wikipedia/commons/a/a8/201405_adrenal_medulla.png
Pick 's disease,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/f/f1/Autosomal_recessive_-_en.svg
PID,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/d/dc/CapitalMuseum11.jpg
Piles,General surgery,"Internal: Painless, bright red rectal bleedingExternal: Pain and swelling around the anus",45â€“65 years of age,Few days,Unknown,"Constipation, diarrhea, sitting on the toilet for a long time, pregnancy","Examination, rule out serious causes",,"Increased fiber, drinking fluids, NSAIDs, rest, surgery",,50â€“66% at some time,,
Pilonidal cyst,"General surgery, emergency medicine","Pain, swelling, redness, drainage of fluid",Young adulthood,,,"Obesity, family history, prolonged sitting, greater amounts of hair, not enough exercise",Based on symptoms and examination,Shaving the area,Incision and drainage,,"3 per 10,000 per year",,https://upload.wikimedia.org/wikipedia/commons/f/fd/Pilonidal_Cyst.png
Pinched nerve,Neurosurgery,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/0/0e/Brachial_plexus_2.svg
Pineoblastoma,Oncology,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/9/9f/Mitotic_Metaphase.svg
Pink eye ( conjunctivitis ),,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/d/d7/Allergicconjunctivitis.jpg
Pinworm infection,Infectious disease,Itchy anal area,4 to 8 weeks from exposure,,Pinworms (Enterobius vermicularis),Attending school,Seeing the worms or eggs,"Handwashing, daily bathing in the morning, daily changing of underwear",,Non-serious,Common,"Mebendazole, pyrantel pamoate, or albendazole",https://upload.wikimedia.org/wikipedia/commons/e/e5/Enterobius_vermicularis.png
Pituitary insufficiency,Endocrinology,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/a/aa/Craniopharyngioma1.jpg
Pituitary tumors,"Oncology, endocrinology",,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/1/10/Acromegaly_facial_features.JPEG
Pityriasis rosea,"Dermatology, Infectious disease","Single red and slightly scaly area, followed",10 to 35 years old,Less than three months,Unclear,,Based on symptoms,,Supportive care,,1.3% (at some point in time),,https://upload.wikimedia.org/wikipedia/commons/0/0b/Heraldpatch2.jpg
PKU,"Medical genetics, pediatrics","Without treatment intellectual disability, seizures, behavioral problems, mental disorders, musty odor",At birth,,Genetic (autosomal recessive),,Newborn screening programs in many countries,,Diet low in foods that contain phenylalanine; special supplements,Normal health with treatment,"~1 in 12,000 newborns","Sapropterin dihydrochloride, pegvaliase",
Placenta accreta,Obstetrics,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/5/54/Placenta_accreta.png
Placenta previa,Obstetrics,Bright red vaginal bleeding without pain,Second half of pregnancy,,,"Older age, smoking, prior cesarean section, labor induction, or termination of pregnancy",Ultrasound,,"Bed rest, cesarean section",,0.5% of pregnancies,,https://upload.wikimedia.org/wikipedia/commons/2/27/Placta_prv.jpg
Placental abruption,Obstetrics,"Vaginal bleeding, low abdominal pain, dangerously low blood pressure",24 to 26 weeks of pregnancy,,Unclear,"Smoking, preeclampsia, prior abruption","Based on symptoms, ultrasound",,"Bed rest, delivery",,~0.7% of pregnancies,Corticosteroids,https://upload.wikimedia.org/wikipedia/commons/7/77/Blausen_0737_PlacentalAbruption.png
Plantar fasciitis,"Orthopedics, sports medicine, plastic surgery, podiatry",Pain in the heel and bottom of the foot,Gradual,,Unclear,"Overuse (long periods of standing), obesity, inward rolling of the foot","Based on symptoms, ultrasound",,Conservative management,,~4%,,https://upload.wikimedia.org/wikipedia/commons/4/4a/Dorsiplantar.jpg
Plantar neuroma,,,,,,,,,,,,,
Pleuritis,Pulmonology,Sharp chest pain,,,"Viral infection, bacterial infection, pneumonia, pulmonary embolism",,"Chest X-ray, electrocardiogram (ECG), blood tests",,Based on the underlying cause,,,"Paracetamol (acetaminophen), ibuprofen",https://upload.wikimedia.org/wikipedia/commons/1/19/Lateral_chest_landmarks.svg
Pneumonia,"Pulmonology, Infectious disease","Cough, difficulty breathing, rapid breathing, fever",,Few weeks,"Bacteria, virus, aspiration","Cystic fibrosis, COPD, sickle cell disease, asthma, diabetes, heart failure, history of smoking, older age","Based on symptoms, chest X-ray","Vaccines, handwashing, not smoking",,,450 million (7%) per year,"Antibiotics, antivirals, oxygen therapy",https://upload.wikimedia.org/wikipedia/commons/7/7a/CT_scan_of_the_chest%2C_demonstrating_right-sided_pneumonia.jpg
Pneumonitis,Pulmonology,,,,,,,,,,,,
Pneumothorax,"Pulmonology, thoracic surgery","Chest pain, shortness of breath, tiredness",Sudden,,"Unknown, trauma","COPD, tuberculosis, smoking","Chest X-ray, ultrasound, CT scan",Smoking cessation,"conservative, needle aspiration, chest tube, pleurodesis",,"20 per 100,000 per year",,https://upload.wikimedia.org/wikipedia/commons/4/46/Blausen_0742_Pneumothorax.png
POEMS syndrome,Oncology,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/en/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg
Polio,"Neurology, Infectious disease",Muscle weakness resulting in an inability to move,Few hours to days,,Poliovirus spread by fecalâ€“oral route,,Finding the virus in the feces or antibodies in the blood,Polio vaccine,Supportive care,,136 people (2018),,https://upload.wikimedia.org/wikipedia/commons/7/70/Campeonato_Argentino_de_Polo_2010_-_5237109478_e7ed034169_o.jpg
Polycystic kidney disease,Nephrology,Abdominal pain,,,,,"MRI, CT scan, Ultrasound",,"Antihypertensives, Life style management",,,,https://upload.wikimedia.org/wikipedia/commons/3/31/Adpkd.jpg
Polyhydramnios,Obstetrics,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/6/60/Ultrasound_Scan_ND_145330_1455290_cr.png
Polymyalgia rheumatica,Rheumatology,"Shoulder, neck and hip pain",Age greater than 50,,,,"Elevated inflammatory markers, CRP and ESR",,,,,Corticosteroids,https://upload.wikimedia.org/wikipedia/commons/8/81/Polymyalgia_rheumatica_man.svg
Polymyositis,Rheumatology,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/a/a2/Polymyositis_HE.jpg
"Polyps , colon",,,,,,,,,,,,,
"Polyps , nasal",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/a/a3/Effect_of_Long_Nozzle.jpg
Pompholyx,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/4/48/Dyshidrosis.JPG
Poor color vision,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/7/71/Braeburn_GrannySmith_dichromat_sim.jpg
Popliteal artery aneurysm,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/8/86/Heart_normal.svg
Popliteal artery entrapment,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/6/60/Gray551.png
Popliteal cyst,Rheumatology,"None, swelling behind the knee, stiffness, pain",Gradual,,,"Knee problems such as osteoarthritis, meniscal tears, rheumatoid arthritis",Confirmed by ultrasound or MRI,,"Supportive care, aspiration, surgery",,c. 20%,,https://upload.wikimedia.org/wikipedia/commons/d/d0/Bakerzyste1_MRT_sag.jpg
Porphyria,"Hematology, dermatology, neurology","Depending on subtypeâ€”abdominal pain, chest pain, vomiting, confusion, constipation, fever, seizures, blisters with sunlight",Recurrent attacks that last days to weeks,,Usually genetic,,"Blood, urine, and stool tests, genetic testing",,Depends on type and symptoms,,"1 to 100 in 50,000 people",,
Post-chemotherapy cognitive impairment,,,,,,,,,,,,,
Post-concussion syndrome,"Psychiatry, Neurology, physical medicine and rehabilitation",,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/e/e3/Rod_of_Asclepius2.svg
Posterior cortical atrophy,Neurology,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/4/46/LobesCaptsLateral.png
Posterior cruciate ligament injury,Orthopedic surgery,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/d/da/Gray348-2.png
Postherpetic neuralgia,Neurology,"burning or stabbing pain, pain doesn't end after the shingles subsides.",,lifelong,,,,,,,,,https://upload.wikimedia.org/wikipedia/en/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg
Postmyocardial infarction syndrome,Cardiology,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/en/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg
Postpartum depression,Psychiatry,"Extreme sadness, low energy, anxiety, changes in sleeping or eating patterns, crying episodes, irritability",A week to a month after childbirth,,Unclear,"Prior postpartum depression, bipolar disorder, family history of depression, psychological stress, complications of childbirth, lack of support, drug use disorder",Based on symptoms,,"Counselling, medications",,~15% of births,,https://upload.wikimedia.org/wikipedia/commons/7/72/American_Lady_Against_The_Sky.jpg
Postpartum preeclampsia,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/f/fc/Hypertrophic_decidual_vasculopathy_high_mag.jpg
Postpartum thyroiditis,Obstetrics,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/en/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg
Post-polio syndrome,Infectious disease,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/d/d1/Clarke_sm.jpg
Postural hypotension,"Cardiology, Neurology","symptoms that are worse when sitting or standing and improve when lying down, including lightheadedness, vertigo, tinnitus, slurred speech, confusion, coathanger pain in neck and shoulders, grayed or blurred vision, severe fatigue, fainting or near fainting",,,,,"in-office (lay down for at least 20 minutes, take BP; stand for 3 minutes, take BP), or tilt-table testing by an autonomic specialist",,"identify and treat causes (medications, dehydration), midodrine, compression garments, bed tilting","depends on frequency, severity, and underlying cause; neurogenic orthostatic hypotension is a chronic, debilitating, and often progressively fatal condition",,,https://upload.wikimedia.org/wikipedia/commons/4/4c/Tetrahydrocannabinol.svg
Pouchitis,"General surgery, Gastroenterology",,,,,,Pouchoscopy,,,,,,https://upload.wikimedia.org/wikipedia/en/9/99/Question_book-new.svg
Prader-Willi syndrome,"Medical genetics, psychiatry, pediatrics","Babies: weak muscles, poor feeding, slow developmentChildren: constantly hungry, intellectual impairment, behavioural problems",,Lifelong,Genetic disorder (typically new mutation),,,,"Feeding tubes, strict food supervision, exercise program, counseling",,"1 in 10,000â€“30,000 people",Growth hormone therapy,https://upload.wikimedia.org/wikipedia/commons/2/24/Angelman.PNG
Prediabetes,Endocrinology,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/8/87/HOMA_IR_IS.tif
Premature birth,"Neonatology, Pediatrics, Obstetrics",Birth of a baby at younger than 37 weeks' gestational age,,,Often unknown,"Diabetes, high blood pressure, Multiple gestation, obesity or underweight, a number of vaginal infections, celiac disease, tobacco smoking, psychological stress",,Progesterone,"Corticosteroids, keeping the baby warm through skin-to-skin contact, supporting breastfeeding, treating infections, supporting breathing",,~15 million a year (12% of deliveries),,https://upload.wikimedia.org/wikipedia/commons/7/7e/Couveuse_pour_pr%C3%A9matur%C3%A9.jpg
Premature ejaculation,Urology,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/6/65/Lock-green.svg
Premature puberty,"Gynecology, endocrinology",,,,"Idiopathic, brain damage, brain tumor",,,,,,,,https://upload.wikimedia.org/wikipedia/commons/7/7d/The_breast-_its_anomalies%2C_its_diseases%2C_and_their_treatment_%281917%29_%2814754630724%29.jpg
Premenstrual syndrome ( PMS ),,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/en/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg
Presbycusis,Otorhinolaryngology,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/en/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg
